sn,symbol,ltp,point change,change,open,high,low,volume,close

1,ACLBSL,570.00,-0.20,-0.04,559.00,570.00,559.00,"1,028.00",570.20
2,ADBL,243.40,-1.60,-0.65,245.00,246.00,241.00,"39,659.00",245.00
3,ADBLD83,"1,049.00",19.00,1.84,"1,030.00","1,049.00","1,030.00",260.00,"1,030.00"
4,AHL,392.00,-0.90,-0.23,392.50,400.70,388.00,"15,793.00",392.90
5,AHPC,252.90,16.30,6.89,241.30,260.20,241.30,"417,687.00",236.60
6,AKJCL,200.10,1.10,0.55,202.00,209.00,200.00,"76,014.00",199.00
7,AKPL,185.00,1.50,0.82,187.10,192.10,183.50,"430,499.00",183.50
8,ALBSL,700.00,4.00,0.57,682.20,703.80,682.20,"6,943.00",696.00
9,ALICL,633.30,-9.80,-1.52,633.10,648.00,631.20,"44,373.00",643.10
10,ANLB,"1,708.00",-42.00,-2.40,"1,730.00","1,785.00","1,688.70","1,740.00","1,750.00"
11,API,184.50,1.50,0.82,185.00,192.10,184.30,"329,000.00",183.00
12,AVYAN,586.20,-4.00,-0.68,591.00,599.00,585.00,"2,209.00",590.20
13,BARUN,234.20,3.30,1.43,235.50,242.70,224.50,"66,934.00",230.90
14,BBC,"3,765.00",-74.00,-1.93,"3,838.00","3,839.00","3,765.00",150.00,"3,839.00"
15,BEDC,317.00,-10.40,-3.18,322.00,333.00,311.00,"48,808.00",327.40
16,BFC,309.60,-5.90,-1.87,311.00,321.40,309.10,"6,904.00",315.50
17,BGWT,584.00,14.00,2.46,570.00,588.90,547.60,"29,562.00",570.00
18,BHDC,502.00,44.00,9.61,467.10,503.80,440.00,"29,770.00",458.00
19,BHL,285.00,-14.00,-4.68,295.00,299.00,285.00,"9,738.00",299.00
20,BHPL,464.60,21.60,4.88,440.00,470.00,440.00,"17,308.00",443.00
21,BNHC,384.00,10.00,2.67,380.00,395.00,376.10,"6,250.00",374.00
22,BNT,"12,160.00",-190.20,-1.54,"12,500.00","12,590.00","12,160.00",311.00,"12,350.20"
23,BPCL,299.50,0.00,0.00,303.00,307.90,299.00,"20,427.00",299.50
24,BPW,"1,450.00",-44.10,-2.95,"1,464.40","1,500.00","1,446.00","1,360.00","1,494.10"
25,C30MF,8.67,0.00,0.00,8.50,8.67,8.50,"2,700.00",8.67
26,CBBL,845.00,-9.00,-1.05,854.00,860.00,840.10,"9,720.00",854.00
27,CBLD88,"1,005.00",10.90,1.10,990.00,"1,005.00",990.00,99.00,994.10
28,CCBD88,990.00,-10.80,-1.08,980.80,990.00,980.80,50.00,"1,000.80"
29,CFCL,333.00,-12.70,-3.67,339.00,346.00,333.00,"15,724.00",345.70
30,CGH,940.00,-16.10,-1.68,956.00,962.00,927.00,"12,604.00",956.10
31,CHCL,500.00,1.00,0.20,508.90,510.00,497.10,"52,463.00",499.00
32,CHDC,"1,130.00",0.00,0.00,"1,151.00","1,169.90","1,098.20","42,439.00","1,130.00"
33,CHL,249.00,-4.00,-1.58,258.00,260.80,248.00,"25,447.00",253.00
34,CIT,"2,156.00",-29.00,-1.33,"2,185.00","2,188.90","2,151.00","16,892.00","2,185.00"
35,CITY,667.00,-7.00,-1.04,687.00,693.00,666.50,"29,705.00",674.00
36,CKHL,556.00,-33.20,-5.63,595.00,595.00,555.50,"33,610.00",589.20
37,CLI,478.00,-4.50,-0.93,482.50,490.10,476.10,"109,394.00",482.50
38,CMF1,8.10,-0.12,-1.46,8.06,8.12,8.05,"89,554.00",8.22
39,CMF2,7.90,-0.15,-1.86,7.89,7.90,7.79,"2,870.00",8.05
40,CORBL,355.00,-8.00,-2.20,370.20,370.20,355.00,"3,476.00",363.00
41,CYCL,"1,023.00",-28.00,-2.66,"1,052.00","1,054.00","1,021.00","3,747.00","1,051.00"
42,CZBIL,168.60,-4.40,-2.54,175.00,175.00,168.60,"63,539.00",173.00
43,DDBL,735.00,-10.10,-1.36,745.10,755.00,735.00,"6,322.00",745.10
44,DHPL,188.00,2.00,1.08,189.70,194.00,178.00,"28,636.00",186.00
45,DLBS,"1,015.00",91.90,9.96,904.70,"1,015.00",892.00,"4,348.00",923.10
46,DOLTI,301.70,-3.30,-1.08,307.00,310.00,296.00,"22,650.00",305.00
47,DORDI,314.10,0.10,0.03,317.00,321.90,311.00,"29,944.00",314.00
48,EBL,503.00,-4.30,-0.85,500.00,508.00,500.00,"38,894.00",507.30
49,EBLD85,"1,033.00",18.00,1.77,"1,035.00","1,035.00","1,033.00",275.00,"1,015.00"
50,EBLD86,855.10,-8.90,-1.03,851.20,855.10,851.00,125.00,864.00
51,EDBL,325.00,-6.30,-1.90,325.00,337.00,325.00,"13,038.00",331.30
52,EHPL,396.90,-1.10,-0.28,400.00,421.90,374.00,"13,525.00",398.00
53,ENL,833.00,-22.00,-2.57,872.00,872.00,833.00,"6,639.00",855.00
54,FMDBL,605.00,6.00,1.00,599.00,613.00,590.00,"39,865.00",599.00
55,FOWAD,"1,068.00",-27.00,-2.47,"1,075.10","1,090.00","1,039.00","8,701.00","1,095.00"
56,GBBD85,860.00,-7.00,-0.81,855.50,860.00,855.50,125.00,867.00
57,GBBL,361.30,-5.70,-1.55,360.00,370.50,358.00,"51,380.00",367.00
58,GBD80/81,"1,025.00",4.90,0.48,"1,024.10","1,025.00","1,024.10",50.00,"1,020.10"
59,GBILD86/87,878.20,17.20,2.00,878.20,878.20,878.20,25.00,861.00
60,GBIME,198.30,-3.70,-1.83,201.00,205.00,198.10,"168,782.00",202.00
61,GBLBS,530.00,-8.60,-1.60,528.00,540.00,528.00,"3,905.00",538.60
62,GCIL,532.00,-3.00,-0.56,527.00,555.00,527.00,"92,532.00",535.00
63,GFCL,425.00,1.00,0.24,415.80,440.00,415.80,"4,070.00",424.00
